lat_and_long,type,time,vh,vv
"(10.18019073690894, 105.32022315786804)",,2021-01-02,0.019622309650811885,0.2019346704085668
"(10.18019073690894, 105.32022315786804)",,2021-01-03,0.009203623618102737,0.1328779069913758
"(10.18019073690894, 105.32022315786804)",,2021-01-08,0.029936545424991183,0.11014361845122443
"(10.18019073690894, 105.32022315786804)",,2021-01-14,0.03357277510480748,0.04485656672881709
"(10.18019073690894, 105.32022315786804)",,2021-01-15,0.015343253190318743,0.09650404420163897
"(10.18019073690894, 105.32022315786804)",,2021-01-20,0.019696925456325214,0.07410686918430859
"(10.18019073690894, 105.32022315786804)",,2021-01-26,0.021866803264452353,0.0871357305182351
"(10.18019073690894, 105.32022315786804)",,2021-01-27,0.02714590086705155,0.03537573334243563
"(10.18019073690894, 105.32022315786804)",,2021-02-01,0.019149803659982152,0.041133484285738736
"(10.18019073690894, 105.32022315786804)",,2021-02-07,0.02595247607678175,0.05178391643696361
"(10.18019073690894, 105.32022315786804)",,2021-02-08,0.024765073218279414,0.07685598192943467
"(10.18019073690894, 105.32022315786804)",,2021-02-13,0.01796389226284292,0.0758052488995923
"(10.18019073690894, 105.32022315786804)",,2021-02-19,0.0337668400671747,0.13979153914584053
"(10.18019073690894, 105.32022315786804)",,2021-02-20,0.027220526710152626,0.04172596956292788
"(10.18019073690894, 105.32022315786804)",,2021-02-25,0.054820822241405644,0.13913901895284653
"(10.18019073690894, 105.32022315786804)",,2021-03-03,0.028802991120351687,0.09791899058553907
"(10.18019073690894, 105.32022315786804)",,2021-03-04,0.017233666136033006,0.04112742220362028
"(10.18019073690894, 105.32022315786804)",,2021-03-09,0.022295763198700216,0.05240428923732705
"(10.18019073690894, 105.32022315786804)",,2021-03-15,0.024713370017707348,0.037218874527348414
"(10.18019073690894, 105.32022315786804)",,2021-03-16,0.034376886362830796,0.0381244205766254
"(10.18019073690894, 105.32022315786804)",,2021-03-21,0.0415219132684999,0.15170673694875506
"(10.18019073690894, 105.32022315786804)",,2021-03-27,0.05268038892083698,0.11876047319836086
"(10.18019073690894, 105.32022315786804)",,2021-03-28,0.02338776768495639,0.091788356916772
"(10.18019073690894, 105.32022315786804)",,2021-04-02,0.014849808687965075,0.15180495919452774
"(10.18019073690894, 105.32022315786804)",,2021-04-08,0.02310690490735902,0.13024102565315035
"(10.18019073690894, 105.32022315786804)",,2021-04-09,0.019103820539183088,0.17577375140455034
"(10.18019073690894, 105.32022315786804)",,2021-04-14,0.018015157534844346,0.09916682375801934
"(10.18019073690894, 105.32022315786804)",,2021-04-20,0.007755273125237889,0.027762006761299238
"(10.18019073690894, 105.32022315786804)",,2021-04-21,0.0028160216364388666,0.03860998608999782
"(10.18019073690894, 105.32022315786804)",,2021-04-26,0.011128021300666861,0.37554414404763115
"(10.18019073690894, 105.32022315786804)",,2021-05-02,0.0192313471602069,0.40697452757093644
"(10.18019073690894, 105.32022315786804)",,2021-05-03,0.015240729527754916,0.23421455754174125
"(10.18019073690894, 105.32022315786804)",,2021-05-08,0.028398638798130885,0.10461959656741884
"(10.18019073690894, 105.32022315786804)",,2021-05-14,0.020819975063204765,0.17594744347863728
"(10.18019073690894, 105.32022315786804)",,2021-05-15,0.02035170431352324,0.20222584240966374
"(10.18019073690894, 105.32022315786804)",,2021-05-20,0.019631244759592745,0.09329772202505006
"(10.18019073690894, 105.32022315786804)",,2021-05-26,0.021468633889324136,0.0643187483979596
"(10.18019073690894, 105.32022315786804)",,2021-05-27,0.014670433993968699,0.11656974090470208
"(10.18019073690894, 105.32022315786804)",,2021-06-01,0.014076005357007185,0.04239113132158915
"(10.18019073690894, 105.32022315786804)",,2021-06-07,0.029850830427474447,0.05853621164957682
"(10.18019073690894, 105.32022315786804)",,2021-06-08,0.022697390678028267,0.04573958781030443
"(10.18019073690894, 105.32022315786804)",,2021-06-13,0.0492196422484186,0.13590678572654724
"(10.18019073690894, 105.32022315786804)",,2021-06-19,0.048478898488812976,0.142367465628518
